12-Nov-2018	BS123S	3	888	50	14928	A	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	3	888	50	14928	A	Ben Souch
12-Nov-2018	BS123S	3	888	50	14928	A	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	3	888	50	14928	A	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	3	888	50	14928	A	Ben Souch
12-Nov-2018	BS123S	6	650	50	-1	R	Ben Souch
12-Nov-2018	BS123S	3	1500	50	-1	R	Ben Souch
12-Nov-2018	BS123S	6	1500	50	-1	R	Ben Souch
12-Nov-2018	BS123S	3	1500	50	-1	R	Ben Souch
12-Nov-2018	BS123S	3	6500	50	-1	R	Ben Souch
12-Nov-2018	BS123S	3	1500	50	-1	R	Ben Souch
12-Nov-2018	BS123S	3	1523	50	-1	R	Ben Souch
12-Nov-2018	BS123S	12	123	50	-1	R	Ben Souch
12-Nov-2018	BS123S	3	6500	50	-1	R	Ben Souch
12-Nov-2018	BS123S	3	650	50	12816	A	Ben Souch
12-Nov-2018	BS123S	8	2000	50	-1	R	Ben Souch
13-Nov-2018	RG538I	3	22	60	935	M	COURTNEY MCGLADE
25-Nov-2018	BS123S	2	400	40	11210	A	Ben Souch
25-Nov-2018	BS123S	6	320	30	599	M	Ben Souch
25-Nov-2018	BS123S	6	431	30	6470	A	Ben Souch
25-Nov-2018	BS123S	6	465	50	-1	R	Ben Souch
25-Nov-2018	BS123S	2	1250	30	-1	R	Ben Souch
25-Nov-2018	BS123S	8	450	40	-1	R	Ben Souch
25-Nov-2018	BS123S	4	2845	60	-1	R	Ben Souch
25-Nov-2018	BS123S	3	750	40	13617	A	Ben Souch
25-Nov-2018	BS123S	4	867	60	1940	M	Ben Souch
25-Nov-2018	BS123S	115	752	40	-1	R	Ben Souch
25-Nov-2018	BS123S	4	965	60	20538	A	Ben Souch
25-Nov-2018	BS123S	4	358	70	13432	A	Ben Souch
26-Nov-2018	BS123S	3	485	40	1045	M	Ben Souch
26-Nov-2018	BS123S	5	100	60	14391	A	Ben Souch
26-Nov-2018	BS123S	8	250	30	-1	R	Ben Souch
26-Nov-2018	BS123S	2	6458	40	-1	R	Ben Souch
27-Nov-2018	BS123S	3	650	40	1269	M	Ben Souch
27-Nov-2018	BS123S	4	452	70	13432	A	Ben Souch
28-Nov-2018	RR586L	4	785	60	17640	A	Ryan Robson
28-Nov-2018	BK456K	4	412	50	1440	M	Benjamin Kane
